id,reduction_reason,reduction_teacher,text,value
RD_1,RR_KompVJ,TR_AlJ,,0.500
RD_3,RR_KompVJ,TR_BCo,,3.800
RD_5,RR_KompVJ,TR_BiT,,1.000
RD_7,RR_FS SB,TR_BiT,,3.000
RD_8,RR_KompVJ,TR_BaC,,3.000
RD_9,RR_KompVJ,TR_BrC,,-2.600
RD_10,RR_KompVJ,TR_ChJ,,2.460
RD_11,RR_AE,TR_ChJ,,1.000
RD_12,RR_KompVJ,TR_CoM,,1.560
RD_13,RR_FS Sup,TR_Dcl,,7.000
RD_14,RR_ICT,TR_DoM,,3.000
RD_15,RR_K_ECDL,TR_DoM,,1.000
RD_17,RR_KompVJ,TR_DoM,,-0.020
RD_18,RR_KompVJ,TR_DuM,,0.580
RD_19,RR_KompVJ,TR_EmH,,1.540
RD_20,RR_AE,TR_EmH,,2.000
RD_21,RR_KompVJ,TR_FeR,,-0.050
RD_22,RR_AE,TR_FeR,,1.000
RD_24,RR_KompVJ,TR_DiC,,1.080
RD_25,RR_KompVJ,TR_FoA,,-0.480
RD_26,RR_KompVJ,TR_FrJ,,-0.420
RD_27,RR_KompVJ,TR_GaD,,0.310
RD_29,RR_KompVJ,TR_GiJ,,0.070
RD_30,RR_KompVJ,TR_GüR,,-1.160
RD_31,RR_FS D&I,TR_GuG,,7.000
RD_32,RR_Proj. I,TR_GuG,,2.000
RD_33,RR_KompVJ,TR_GyC,,1.300
RD_34,RR_KompVJ,TR_HaA,,1.000
RD_36,RR_KompVJ,TR_HaS,,-1.500
RD_37,RR_KompVJ,TR_HaM,,-2.250
RD_38,,TR_HaM,Umwandlung Ferienkonto,2.825
RD_40,RR_KompVJ,TR_HeR,,-0.250
RD_41,RR_KompVJ,TR_HeM,,3.430
RD_42,RR_AE,TR_HeM,,1.000
RD_43,RR_KompVJ,TR_HeC,,0.370
RD_44,RR_AE,TR_HuK,,1.000
RD_45,RR_KompVJ,TR_HuK,,-0.390
RD_46,,TR_HuK,Umwandlung Dienstalter,2.900
RD_47,,TR_HuK,Umwandlung Einzellektionen,0.950
RD_48,RR_KompVJ,,,0.250
RD_49,RR_KompVJ,TR_KiS,,3.000
RD_51,RR_KompVJ,TR_KnS,,-0.600
RD_52,RR_KoVo,TR_KnS,,1.000
RD_53,RR_AE,TR_KnS,,2.000
RD_55,RR_ICT,TR_LaH,,3.000
RD_57,RR_KompVJ,TR_LaH,,-0.520
RD_58,RR_KompVJ,TR_LiA,,7.570
RD_60,RR_FS SB,TR_LiC,,4.000
RD_61,RR_KompVJ,TR_MSo,,0.720
RD_62,RR_KompVJ,TR_MeV,,1.840
RD_63,RR_KompVJ,TR_MRa,,-0.540
RD_64,RR_KompVJ,TR_MoA,,-0.150
RD_65,RR_AE,TR_MoA,,1.000
RD_66,RR_KompVJ,TR_MüB,,0.500
RD_67,RR_KompVJ,TR_NeD,,1.000
RD_68,RR_KompVJ,TR_NeC,,0.880
RD_69,RR_AE,TR_NeC,,2.000
RD_70,RR_KompVJ,TR_PaA,,2.000
RD_71,RR_KompVJ,,,3.570
RD_72,RR_AE,,,2.000
RD_73,RR_KompVJ,TR_PeS,,0.750
RD_74,RR_KompVJ,TR_PoD,,2.680
RD_75,RR_KompVJ,TR_PoJ,,2.510
RD_76,RR_KompVJ,TR_ReR,,-0.960
RD_77,RR_Proj. I,TR_ScM,,4.000
RD_78,RR_KompVJ,TR_SCc,,-0.480
RD_79,RR_AE,TR_SCc,,2.000
RD_80,RR_KompVJ,TR_ScR,,-0.250
RD_81,RR_KompVJ,TR_SCl,,1.000
RD_82,RR_KompVJ,TR_SiD,,3.150
RD_83,RR_KompVJ,TR_SiE,,1.000
RD_84,RR_KompVJ,TR_SmG,,1.000
RD_85,RR_KompVJ,TR_StC,,0.010
RD_86,,TR_WaJ,Umwandlung Einzellektione,2.000
RD_87,RR_KompVJ,TR_WyC,,6.500
RD_88,RR_KompVJ,TR_YeÖ,,0.500
RD_89,RR_KompVJ,TR_ZiW,,-0.240
RD_90,,TR_YeÖ,unbezahlte Entlastung,2.000
RD_91,,TR_YeÖ,Umwandlung Ferienkonto 7.61,0.190
RD_92,,TR_YeÖ,Umwandlung DAG 2019 20 Lekt.,0.500
RD_93,,TR_YeÖ,"Umwandlung DAG 2024 (Bezug ab Okt 24 möglich, Anzahl Lekt. noch nicht bekannt)",0.000
RD_94,RR_ICT,TR_GaD,,3.000
RD_95,RR_ICT,TR_BrC,,3.000
RD_96,,TR_YeÖ,Umwandlung Ferienkonto 1.4,0.040
RD_97,RR_Dat Ma,TR_KuJ,,1.000
RD_100,RR_KoVo,TR_JeL,,1.000
RD_101,RR_KompVJ,,,-1.070
RD_102,RR_AE,TR_WüM,,1.000
RD_103,RR_ICT,TR_KöV,,2.000
RD_104,RR_ICT,TR_KuJ,,1.000
RD_105,RR_KompVJ,TR_GuG,,2.750
RD_106,RR_KompVJ,TR_KuJ,,-0.250
