class_id;class_department_id
CL_E01;DP_LYS
CL_E02;DP_LYS
CL_E03;DP_LYS
CL_F01;DP_GU
CL_F02;DP_GU
CL_F03;DP_GU
CL_F04;DP_GU
CL_F05;DP_GU
CL_F06;DP_GU
CL_I101;DP_NH
CL_I102;DP_NH
CL_I103;DP_NH
CL_I104;DP_NH
CL_I105;DP_NH
CL_I106;DP_NH
CL_I107;DP_NH
CL_I108;DP_NH
CL_I109;DP_NH
CL_I201;DP_LYS
CL_I202;DP_LYS
CL_I203;DP_LYS
CL_I204;DP_LYS
CL_I205;DP_LYS
CL_I206;DP_LYS
CL_I207;DP_LYS
CL_I208;DP_LYS
CL_I209;DP_CL
CL_I210;DP_CL
CL_I211;DP_CL
CL_I212;DP_LYS
CL_K+01;DP_CL
CL_K+02;DP_CL
CL_K01;DP_GU
CL_LB Cl;DP_CL
CL_LB Ly;DP_LYS
CL_LB Ni;DP_NH
CL_LB_Gun;DP_GU
CL_S01;DP_CL
CL_S02;DP_CL
CL_S03;DP_CL
CL_S04;DP_CL
CL_S05;DP_CL
CL_S06;DP_CL
CL_S07;DP_CL
CL_S08;DP_CL
CL_K02;DP_GU
